change_type,dependency_type,name,version,spdx_license,prior_version,prior_spdx_license
ADDED,python,aiosqlite,0.22.1,MIT,,
ADDED,python,botorch,0.18.1,MIT,,
ADDED,python,gpytorch,1.15.2,MIT,,
ADDED,python,iso8601,2.1.0,MIT,,
ADDED,python,joblib,1.5.3,BSD-3-Clause,,
ADDED,python,jsonpatch,1.33,BSD-3-Clause,,
ADDED,python,jsonpointer,3.1.1,BSD-3-Clause,,
ADDED,python,kopf,1.44.6,MIT,,
ADDED,python,kubernetes_asyncio,32.3.2,Apache-2.0,,
ADDED,python,linear_operator,0.6.1,MIT,,
ADDED,python,mpmath,1.3.0,BSD-3-Clause,,
ADDED,python,multipledispatch,1.0.0,BSD-3-Clause,,
ADDED,python,mypy_extensions,1.1.0,MIT,,
ADDED,python,networkx,3.6.1,BSD-3-Clause,,
ADDED,python,ninja,1.13.0,Apache-2.0 AND BSD-3-Clause,,
ADDED,python,optuna-integration,4.9.0,MIT,,
ADDED,python,pyre-extensions,0.0.32,MIT,,
ADDED,python,python-json-logger,4.2.0,BSD-2-Clause,,
ADDED,python,python-multipart,0.0.32,Apache-2.0,,
ADDED,python,scikit-learn,1.9.0,BSD-3-Clause,,
ADDED,python,sympy,1.14.0,BSD-3-Clause,,
ADDED,python,threadpoolctl,3.6.0,BSD-3-Clause,,
ADDED,python,torch,2.13.0+cpu,Apache-2.0 AND Apache-2.0 WITH LLVM-exception AND BSD-2-Clause AND BSD-3-Clause AND BSL-1.0 AND MIT,,
ADDED,python,typing-inspect,0.9.0,MIT,,
VERSION_CHANGED,python,aiohttp,3.14.3,Apache-2.0 AND MIT,3.13.5,Apache-2.0 AND MIT
VERSION_CHANGED,python,alembic,1.19.1,MIT,1.18.5,MIT
VERSION_CHANGED,python,annotated-doc,0.0.5,MIT,0.0.4,MIT
VERSION_CHANGED,python,annotated-types,0.8.0,MIT,0.7.0,MIT License
VERSION_CHANGED,python,anyio,4.14.2,MIT,4.14.1,MIT
VERSION_CHANGED,python,certifi,2026.7.22,MPL-2.0,2026.6.17,MPL-2.0
VERSION_CHANGED,python,cffi,2.1.1,MIT-0,2.1.0,MIT
VERSION_CHANGED,python,charset-normalizer,3.5.1,MIT,3.4.9,MIT
VERSION_CHANGED,python,colorlog,6.12.0,MIT,6.10.1,MIT
VERSION_CHANGED,python,cyclopts,4.23.2,Apache-2.0,4.20.0,Apache-2.0
