dependency_type,name,version,spdx_license
dpkg,bash,5.2.15-2+b10,GPL-3.0-or-later
python,aiofiles,24.1.0,Apache-2.0
python,aiohappyeyeballs,2.7.1,PSF-2.0
python,aiohttp,3.14.3,Apache-2.0 AND MIT
python,aiosignal,1.4.0,Apache-2.0
python,aiosqlite,0.22.1,MIT
python,alembic,1.19.1,MIT
python,annotated-doc,0.0.5,MIT
python,annotated-types,0.8.0,MIT
python,anyio,4.14.2,MIT
python,attrs,26.1.0,MIT
python,blinker,1.9.0,MIT
python,botorch,0.18.1,MIT
python,brotli,1.2.0,MIT
python,certifi,2026.7.22,MPL-2.0
python,cffi,2.1.1,MIT-0
python,charset-normalizer,3.5.1,MIT
python,choreographer,1.3.0,MIT
python,click,8.2.1,BSD-3-Clause
python,colorlog,6.12.0,MIT
python,contourpy,1.3.3,BSD-3-Clause
python,crick,0.0.8,BSD-3-Clause
python,cycler,0.12.1,BSD-3-Clause
python,cyclopts,4.23.2,Apache-2.0
python,dash,3.1.1,MIT
python,dash-bootstrap-components,2.0.4,Apache-2.0
python,datasets,5.0.1,Apache-2.0
python,dill,0.4.1,BSD-3-Clause
python,docstring_parser,0.18.0,MIT
python,fastapi,0.141.1,MIT
python,ffmpeg-python,0.2.0,Apache-2.0
python,filelock,3.32.4,MIT
python,Flask,3.1.3,BSD-3-Clause
python,fonttools,4.63.0,MIT
python,frozenlist,1.8.0,Apache-2.0
python,fsspec,2025.9.0,BSD-3-Clause
python,future,1.0.0,MIT
python,gpytorch,1.15.2,MIT
python,greenlet,3.5.5,MIT AND PSF-2.0
python,h11,0.16.0,MIT
python,hf-xet,1.6.0,Apache-2.0
python,httpcore,1.0.9,BSD-3-Clause
python,httptools,0.8.0,MIT
python,httpx,0.28.1,BSD-3-Clause
python,huggingface_hub,1.16.1,Apache-2.0
python,idna,3.19,BSD-3-Clause
python,importlib_metadata,9.0.0,Apache-2.0
python,iniconfig,2.3.0,MIT
python,iso8601,2.1.0,MIT
python,itsdangerous,2.2.0,BSD-3-Clause
python,Jinja2,3.1.6,BSD-3-Clause
python,jmespath,1.0.1,MIT
python,joblib,1.5.3,BSD-3-Clause
python,jsonpatch,1.33,BSD-3-Clause
python,jsonpointer,3.1.1,BSD-3-Clause
python,kaleido,1.2.0,MIT
python,kiwisolver,1.5.0,BSD-3-Clause
python,kopf,1.44.6,MIT
python,kubernetes_asyncio,32.3.2,Apache-2.0
python,linear_operator,0.6.1,MIT
python,linkify-it-py,2.1.1,MIT
python,logistro,2.0.1,MIT
python,Mako,1.4.1,MIT
python,markdown-it-py,4.2.0,MIT
python,MarkupSafe,3.0.3,BSD-3-Clause
python,matplotlib,3.11.1,PSF-2.0
python,mdit-py-plugins,0.6.1,MIT
python,mdurl,0.1.2,MIT
python,mpmath,1.3.0,BSD-3-Clause
python,msgspec,0.21.1,BSD-3-Clause
python,multidict,6.7.1,Apache-2.0
python,multipledispatch,1.0.0,BSD-3-Clause
python,multiprocess,0.70.19,BSD-3-Clause
python,mypy_extensions,1.1.0,MIT
python,narwhals,2.25.0,MIT
python,nest-asyncio,1.6.0,BSD-3-Clause
python,networkx,3.6.1,BSD-3-Clause
python,ninja,1.13.0,Apache-2.0 AND BSD-3-Clause
python,numpy,2.5.2,BSD-3-Clause AND 0BSD AND MIT AND Zlib AND CC0-1.0
python,nvidia-ml-py,13.610.43,BSD-3-Clause
python,optuna,4.9.0,MIT
python,optuna-integration,4.9.0,MIT
python,orjson,3.11.9,MPL-2.0 AND (Apache-2.0 OR MIT)
python,packaging,26.3,Apache-2.0
python,pandas,2.3.3,BSD-3-Clause
python,pillow,12.3.0,MIT-CMU
python,platformdirs,4.11.4,MIT
python,plotly,6.4.0,MIT
python,pluggy,1.6.0,MIT
python,prometheus_client,0.23.1,Apache-2.0 AND BSD-2-Clause
python,propcache,0.5.2,Apache-2.0
python,protobuf,7.36.0,BSD-3-Clause
python,psutil,7.0.0,BSD-3-Clause
python,pyarrow,25.0.1,Apache-2.0
python,pycparser,3.0,BSD-3-Clause
python,pydantic,2.13.4,MIT
python,pydantic-settings,2.15.0,MIT
python,pydantic_core,2.46.4,MIT
python,Pygments,2.21.0,BSD-2-Clause
python,pyparsing,3.3.2,MIT
python,pyre-extensions,0.0.32,MIT
python,pytest,9.1.1,MIT
python,pytest-timeout,2.4.0,MIT
python,python-dateutil,2.9.0.post0,Apache-2.0 AND BSD-3-Clause
python,python-dotenv,1.2.3,BSD-3-Clause
python,python-json-logger,4.2.0,BSD-2-Clause
python,python-multipart,0.0.32,Apache-2.0
