Metric,avg,min,max,p1,p5,p25,p50,p75,p90,p95,p99,std
Input Sequence Length (tokens),550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,0.00
Inter Chunk Latency (ms),27.76,6.17,164.62,16.84,19.96,21.91,22.67,23.50,24.88,31.66,140.53,23.88
Inter Token Latency (ms),27.76,22.13,34.86,22.18,22.34,24.45,27.62,31.23,32.87,33.34,33.73,3.73
Output Sequence Length (tokens),242.97,193.00,247.00,193.00,228.60,241.00,247.00,247.00,247.00,247.00,247.00,9.42
Output Token Count (tokens),61.07,1.00,138.00,1.87,6.70,38.25,59.50,88.50,113.60,126.15,136.26,36.66
Output Token Throughput Per User (tokens/sec/user),36.68,28.69,45.19,29.65,29.99,32.02,36.21,40.89,43.87,44.76,45.08,4.98
Reasoning Token Count (tokens),222.38,103.00,247.00,103.88,129.20,203.00,247.00,247.00,247.00,247.00,247.00,41.47
Request Latency (ms),9059.65,7936.97,9299.77,8180.93,8840.61,8962.91,9097.35,9212.62,9277.60,9288.61,9297.61,220.22
Time to First Token (ms),2343.22,464.66,3853.86,581.20,728.68,1413.84,2369.32,3336.60,3796.93,3825.28,3833.39,1049.82
Time to Second Token (ms),120.17,21.28,143.25,22.29,22.74,133.87,136.64,139.87,141.26,142.39,142.92,40.17

Metric,Value
Benchmark Duration (sec),9.32
Error Request Count,11.00
Maximum Response Timestamp (ns),1759522428472357888.00
Minimum Request Timestamp (ns),1759522419154568960.00
Output Token Throughput (tokens/sec),2320.72
Request Count,89.00
Request Throughput (requests/sec),9.55
Total Input Sequence Length (tokens),48950.00
Total Output Sequence Length (tokens),21624.00
Total Output Tokens (tokens),1832.00
Total Reasoning Tokens (tokens),19792.00
